rho,phi,yaw_rotation,image_path,mean_confidence,num_detections
8.178631,-1.570796,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_570796_yaw_0.png,0.5199252367019653,4
8.178631,-1.48353,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_48353_yaw_0.png,0.45235562324523926,1
8.178631,-1.396263,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_396263_yaw_0.png,0.5504951402544975,4
8.178631,-1.308997,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_308997_yaw_0.png,0.6189796924591064,2
8.178631,-1.22173,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_22173_yaw_0.png,0.5933483719825745,5
8.178631,-1.134464,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_134464_yaw_0.png,0.6095486879348755,4
8.178631,-1.047198,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-1_047198_yaw_0.png,0.504756768544515,6
8.178631,-0.9599311,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_9599311_yaw_0.png,0.5416728258132935,2
8.178631,-0.8726646,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_8726646_yaw_0.png,0.5154803842306137,2
8.178631,-0.7853982,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_7853982_yaw_0.png,0,0
8.178631,-0.6981317,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_6981317_yaw_0.png,0.4552682042121887,1
8.178631,-0.6108652,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_6108652_yaw_0.png,0.5389946103096008,4
8.178631,-0.5235987,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_5235987_yaw_0.png,0,0
8.178631,-0.4363323,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_4363323_yaw_0.png,0,0
8.178631,-0.3490659,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_3490659_yaw_0.png,0,0
8.178631,-0.2617994,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_2617994_yaw_0.png,0,0
8.178631,-0.174533,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_174533_yaw_0.png,0,0
8.178631,-0.08726652,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_-0_08726652_yaw_0.png,0,0
8.178631,4.371139E-08,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_4_371139E-08_yaw_0.png,0,0
8.178631,0.08726648,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_08726648_yaw_0.png,0,0
8.178631,0.1745329,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_1745329_yaw_0.png,0,0
8.178631,0.2617994,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_2617994_yaw_0.png,0,0
8.178631,0.3490658,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_3490658_yaw_0.png,0,0
8.178631,0.4363324,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_4363324_yaw_0.png,0,0
8.178631,0.5235988,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_5235988_yaw_0.png,0,0
8.178631,0.6108653,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_6108653_yaw_0.png,0,0
8.178631,0.6981317,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_6981317_yaw_0.png,0,0
8.178631,0.7853982,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_7853982_yaw_0.png,0,0
8.178631,0.8726646,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_8726646_yaw_0.png,0.508115291595459,1
8.178631,0.9599311,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_0_9599311_yaw_0.png,0.5459664314985275,4
8.178631,1.047197,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_047197_yaw_0.png,0.6174638748168946,5
8.178631,1.134464,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_134464_yaw_0.png,0.5580176164706548,6
8.178631,1.22173,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_22173_yaw_0.png,0.5008368790149689,3
8.178631,1.308997,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_308997_yaw_0.png,0.6116148233413696,1
8.178631,1.396263,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_396263_yaw_0.png,0.5616711378097534,1
8.178631,1.48353,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_48353_yaw_0.png,0.5208195149898529,2
8.178631,1.570796,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_570796_yaw_0.png,0.5485079487164816,3
8.178631,1.658063,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_658063_yaw_0.png,0.48203589022159576,4
8.178631,1.745329,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_745329_yaw_0.png,0.5020108719666799,3
8.178631,1.832596,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_832596_yaw_0.png,0.532462497552236,3
8.178631,1.919862,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_1_919862_yaw_0.png,0.5230441441138586,6
8.178631,2.007129,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_2_007129_yaw_0.png,0.46172410249710083,4
8.178631,2.094395,0,/home/pantheon/ripe_apples_dataset/polar/fixed_view/2025-01-08_18-57-10/Screenshot_distance_8_178631_theta_2_094395_yaw_0.png,0.513543426990509,8
